dataset,resource,field,fields,separator,entry-date,start-date,end-date,endpoint
green-belt,,reference,LAD20CD;GB_Name,/,,,,b04c507f53aa0e0624b5f529c3335413f1ea384674533f910ba5ad24baa0464b
green-belt,,reference,LAD_CD;GB_Name,/,,,,e00db39f56de236656d4c5c9bb81923dbd0bf31a216ec2bb2020cee1e4242ebf
green-belt,,reference,LAD_CD;GB_Name,/,,,,0a348ac5a298612f216088f285ab4fd049752bd663f058e0801e8c70c0cf7717
green-belt,,reference,LAD_CD;GB_Name,/,,,,97bbf2577ae07bc9ef6551d7ec38a8dd764de04f2f702ca2a1c1764d3fbb175b
green-belt,,reference,LAD_CD;GB_Name,/,,,,b2c697a318befb7496d642cf94c87154511635b9fb4e20a9287223f23c242658
green-belt,,reference,LAD_CD;GB_Name,/,,,,8b95cfec44f62f865fb37c0c919fb1f302e0a38cf7f6155c76ee84c4974f7c81
green-belt,,reference,LAD_CD;GB_Name,/,,,,67d09eadfc5a12dfd7c5cfd2297b6b5883591a983dea9cfe51d1ca70e22fd2f5
green-belt,,reference,LAD_CD;GB_Name,/,,,,c0a73532f6fa53d0b1a4d13346b47516d09ae3e50c5d0c484e753ca11a99cbe0
green-belt,,reference,LAD_CD;GB_Name,/,,,,b1bb56a6781743ef47b2451cc7b4432bec15334e2acdd2b23684a22f171810b8
green-belt,,reference,LAD_CD;GB_Name,/,,,,869af03eff971db43c2376b3083e398c898bf993d8caaedf0f360f7ddac5d610
green-belt,,reference,LAD_CD;GB_Name,/,,,,4c757e163662d53aa9ae12d3e94fb62c4186c455e2b3542903489f931027c443
green-belt,,reference,LAD_CD;GB_Name,/,,,,f967499d6adeeae9fa7fe97fe4e3de500a27b3566ca778ff15d7ea7273868214
green-belt,,reference,LAD_CD;GB_Name,/,,,,a492fb5015e539788d5f34e7d6e96ca340eea728755e5d81e913e585201a4347