dataset,endpoint,field,separator,entry-date,start-date,end-date,resource
tree-preservation-zone,d551675f1579af9e69e105e9fe8f33fc4160dd8004fd6975863480e0d16b6337,geometry,,,,,
tree,d6abdbc3123bc4b60ee9d34ab1ec52dda34d67e6260802df6a944a5f7d09352b,geometry,,2024-10-07,,,
tree-preservation-zone,d6abdbc3123bc4b60ee9d34ab1ec52dda34d67e6260802df6a944a5f7d09352b,geometry,,2024-10-07,,,
tree,d56085492d6911fb4904ad3e9cb5ca61a61a9027d39c63c0e6cb4051ec76d855,geometry,,2025-09-15,,,
tree-preservation-zone,d56085492d6911fb4904ad3e9cb5ca61a61a9027d39c63c0e6cb4051ec76d855,geometry,,2025-09-15,,,
tree-preservation-order,d56085492d6911fb4904ad3e9cb5ca61a61a9027d39c63c0e6cb4051ec76d855,reference,,2025-10-03,,,
tree-preservation-order,4ac87bfbd29d3fd8d52297c65a5385ae867e1e15ba7ed629217ff3013aeb5c28,reference,,2025-10-31,,,
tree-preservation-order,e1a8ddd5c0318a2a685430ece7c5e08ea45bb4ed974734e94e4ed062d1f357f5,reference,,2025-10-31,,,
tree-preservation-zone,c18514d51a4072b1fa0eceb0e390e65555bfcc93135b37c0b367d45bac3a5ae3,geometry,,2025-09-15,,,
tree-preservation-order,c18514d51a4072b1fa0eceb0e390e65555bfcc93135b37c0b367d45bac3a5ae3,reference,,2026-01-20,,,
tree-preservation-order,88e9e4aebf3e09b64430391fa2cf486c8a502765b9e96f790633e64baa4f40d9,reference,,2026-01-20,,,